Company Name,Google Maps URL,Description,Website,stripped_website,Column 1,Phone,Address,Rating,Reviews Count,found contact already [y/n],Company Name,Website,Website Status,Address,Country,Person Linkedin,Title,First Name,Last Name,Email,Company Generic Emails,Company Email Source,Email Source,Mailtester,Personal Phone Number,Company Phone Number,Phone Source,Remarks
Bombshells Restaurant & Bar Dallas,https://www.google.com/maps/place/?q=place_id:ChIJB5GIH2ecToYRv7mZEPAdeGE,"Sports bar with a military aviation theme featuring scantily-clad servers, pub grub & live music.",http://www.4bombshells.com/,4bombshells.com,2,+1 214-267-2662,"7501 N Stemmons Fwy, Dallas, TX 75247, USA",3.9,4378,No,Bombshells Restaurant & Bar Dallas,4bombshells.com,Web Working,"7501 N Stemmons Fwy, Dallas, TX 75247, United States",United States,https://www.linkedin.com/in/david-j-simmons-a3339337/,Director of Operations Restaurant,David,Simmons,dsimmons@4bombshells.com,N/A,,,Valid Email,1 214-240-2046,1 214-267-2662,,
Silver City Cabaret,https://www.google.com/maps/place/?q=place_id:ChIJB5GIH2ecToYRgKGJfZ6y-PQ,,http://www.silvercitycabaret.com/,silvercitycabaret.com,1,+1 214-689-8989,"7501 N Stemmons Fwy A, Dallas, TX 75247, USA",4.5,467,No,Silver City Cabaret,silvercityclub.com,Web Working,"7501 N Stemmons Fwy A, Dallas, TX 75247, United States",United States,https://www.linkedin.com/in/mike-riece-82b00125/,Manager,Mike,Riece,chippendale_riece@hotmail.com,N/A,,,Valid Email,N/A,1 214-689-8989,,
The Jungle Dallas Tx,https://www.google.com/maps/place/?q=place_id:ChIJxTO55TCdToYRT0Z1CpsQAko,,https://thejungle.top/,thejungle.top,1,+1 972-913-4736,"8410 Harry Hines Blvd, Dallas, TX 75235, USA",3.6,92,No,The Jungle Dallas Tx,thejungle.top,Web Working,"8410 Harry Hines Blvd, Dallas, TX 75235, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 972-913-4736,,
Walter's Kitchen Restaurant & Bar,https://www.google.com/maps/place/?q=place_id:ChIJrTjXziqdToYR-HHs_46H69g,,https://walterskitchenrestaurantbartx.com/,walterskitchenrestaurantbartx.com,1,+1 214-350-8070,"8010 N Stemmons Fwy, Dallas, TX 75247, USA",4.3,226,No,Walter's Kitchen Restaurant & Bar,walterskitchenrestaurantbartx.com,Web Working,"8010 N Stemmons Fwy Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-350-8070,,
Schlotzsky's,https://www.google.com/maps/place/?q=place_id:ChIJFXnEhO4uTIYRH-suI7WlJps,"Counter-serve chain serving deli fare, such as their Original sandwich, specialty pizzas & salads.",https://locations.schlotzskys.com/tx/dallas/8235-north-stemmons-freeway?utm_source=google&utm_medium=organic&utm_campaign=locations_partner,locations.schlotzskys.com,1,+1 214-630-9944,"8235 N Stemmons Fwy, Dallas, TX 75247, USA",4.5,1013,No,Schlotzsky's,schlotzskys.com,Web Working,"8235 North Stemmons Freeway, Dallas, TX, United States",United States,https://www.linkedin.com/in/liliana-campos-8698ba100/,General Manager,Liliana,Campos,lcampos@schlotzskys.com,catering@schlotzskys.com,,,Valid Email,1 512-236-3600,1 214-630-9944,Apollo,
Herrera's Cafe #1,https://www.google.com/maps/place/?q=place_id:ChIJa8eK30edToYRniDLr99Vvjw,"Unpretentious institution providing standard Tex-Mex platters & margaritas, plus outdoor seating.",,,,+1 214-272-8202,"8014 Harry Hines Blvd #1A, Dallas, TX 75235, USA",4.3,1578,No,Herrera's Cafe 1,,Web Not Found,"8014 Harry Hines Blvd #1A, Dallas, TX 75235, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-272-8202,,
Bite Bistro,https://www.google.com/maps/place/?q=place_id:ChIJNxTHflqdToYRb0n-YBS8KMw,,http://bitedallas.com/,bitedallas.com,1,+1 214-484-5460,"1150 Empire Central Pl #104, Dallas, TX 75247, USA",4.7,154,No,Bite Bistro,bitedallas.com,Web Working,"1150 Empire Central Place, Suite 104, Dallas, TX 75247, United States",United States,,Business Owner,Darren,Sproles,N/A,contact@bitedallas.com,,,Valid Email,N/A,1 214-484-5460,,
Tacos Mi Rey,https://www.google.com/maps/place/?q=place_id:ChIJSUcWAvmdToYRzMNFUNgiAXY,,https://bit.ly/3pd8vtN,bit.ly,3,+1 469-222-9384,"2115 W Lovers Ln, Dallas, TX 75235, USA",4.7,82,No,Tacos Mi Rey,,Web Not Found,"2115 W Lovers Ln, Dallas, TX 75235, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 469-222-9384,,
Luna's Tortillas,https://www.google.com/maps/place/?q=place_id:ChIJKXeWAE-cToYRfNY-He_ibds,"Take-out counter selling fresh corn & flour tortillas, tamales, tacos & other Mexican staples.",http://www.lunastortillas.com/,lunastortillas.com,1,+1 214-747-2661,"7406 Harry Hines Blvd, Dallas, TX 75235, USA",4.1,738,No,Luna's Tortillas,lunastortillas.com,Web Working,"7406 Harry Hines Blvd, Dallas, TX 75235, United States",United States,,Business Owner,Maria,Luna,N/A,orders@lunastortillas.com,,,Valid Email,N/A,1 214-747-2661,,
Love Field Taco House,https://www.google.com/maps/place/?q=place_id:ChIJUeBtsOydToYRMgQzTvlWGHI,,,,,+1 972-803-5770,"1475 W Mockingbird Ln, Dallas, TX 75247, USA",4.2,125,No,Love Field Taco House,,Web Not Found,"1475 W Mockingbird Ln, Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 972-803-5770,,
Texican - by Abel Gonzales,https://www.google.com/maps/place/?q=place_id:ChIJAaNYNqSdToYRAc4FB9hzeis,"Relaxed restaurant serving classic Tex-Mex fare including fajitas, quesadillas & smoked tamales.",http://www.agtexican.com/,agtexican.com,1,+1 214-238-0392,"7101 Harry Hines Blvd, Dallas, TX 75235, USA",4.8,179,No,Texican - Abel Gonzales,agtexican.com,Web Working,"7101 Harry Hines Blvd, Dallas, TX, United States",United States,,Business Owner,Abel,Gonzales,abel@agtexican.com,N/A,,,Valid Email,N/A,1 214-238-0392,,
Mi pequeño Honduras,https://www.google.com/maps/place/?q=place_id:ChIJr-a-hWCdToYRPZ_OXtRD-Mo,,,,,+1 214-238-6406,"8424 Harry Hines Blvd, Dallas, TX 75235, USA",4.1,45,No,Mi pequeño Honduras,,Web Not Found,"8424 Harry Hines Blvd, Dallas, TX 75235, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-238-6406,,
Los Primos Tacos & More,https://www.google.com/maps/place/?q=place_id:ChIJu8gpcpWdToYR7vs0m8gTpJg,,http://losprimostacostx.com/,losprimostacostx.com,1,+1 469-372-5535,"5012 Sharp St B, Dallas, TX 75247, USA",4,631,No,Los Primos Tacos & More,losprimostacostx.com,Web Working,"5012 sharp, Dallas, TX 75247, United States",United States,,,,,N/A,losprimostacos@yahoo.com,,,Valid Email,N/A,1 469-372-5535,,
Wok N Go,https://www.google.com/maps/place/?q=place_id:ChIJWdsndXycToYRyp_y-mWoH74,,,,,+1 214-951-9000,"3260 Irving Blvd #300, Dallas, TX 75247, USA",4.2,340,No,Wok N Go,wok-n-go.com,Web Working,"3260 Irving Blvd #300, Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-951-9000,,
Freshella Kitchen,https://www.google.com/maps/place/?q=place_id:ChIJ2SGgSmScToYRDpIpFhO9qrI,"Straightforward counter-serve café offering sandwiches, salads & breakfast, plus catering.",http://freshellakitchen.com/,freshellakitchen.com,1,+1 214-905-6140,"7145 John W. Carpenter Fwy Suite A, Dallas, TX 75247, USA",4.6,345,No,Freshella Kitchen,freshellakitchen.com,Web Working,"7145 John W. Carpenter Fwy Suite A, Dallas, TX 75247, United States",United States,https://www.linkedin.com/in/miguel-frascella-6291461b/overlay/contact-info/,President,Miguel,Frascella,miguel@freshella.com,info@freshellakitchen.com,,,Valid Email,1 214-317-0893,1 214-905-6140,RocketReach,
El Jalapeno Taqueria & Seafood (Formerly Ocean Shak),https://www.google.com/maps/place/?q=place_id:ChIJXSVYkH2cToYRqv1Si6kLyWE,,https://eljalapenotaqueriaandseafoodtx.com/,eljalapenotaqueriaandseafoodtx.com,1,+1 214-238-6734,"3444 Irving Blvd, Dallas, TX 75247, USA",4.6,455,No,El Jalapeno Taqueria & Seafood,eljalapenotaqueriaandseafoodtx.com,Web Working,"3444 Irving Blvd, Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-238-6734,,
Malena Tacos,https://www.google.com/maps/place/?q=place_id:ChIJJ6jSCnycToYRq-qSbhvl6Pg,,https://malenatacos.top/,malenatacos.top,1,+1 214-791-2846,"3260 Irving Blvd, Dallas, TX 75247, USA",4.3,267,No,Malena Tacos,malenatacos.top,Web Working,"3260 Irving Blvd Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-791-2846,,
The Wing Shack,https://www.google.com/maps/place/?q=place_id:ChIJR2QmdnycToYRyQwKOSsbhKE,,,,,+1 214-630-0100,"3260 Irving Blvd #100, Dallas, TX 75247, USA",4.4,329,No,The Wing Shack,wingshack.com,Web Working,"3260 Irving Blvd #100, Dallas, TX 75247, United States",United States,,Owner,Garry,Strobel,N/A,info@wingshack.com,https://www.wingshack.com/contact-us,,Valid Email,N/A,1 214-630-0100,,
El Palenque Grill,https://www.google.com/maps/place/?q=place_id:ChIJp4VgTtWdToYR9kvAONNhSp0,,,,,+1 972-589-0666,"3334 Irving Blvd, Dallas, TX 75247, USA",4.6,42,No,El Palenque Grill,elpalenquegrilltx.com,Web Working,"3334 Irving Blvd, Dallas, TX 75247, United States",United States,,Owner,Juan,Francisco,francisco@palenquegrill.com,N/A,,,Valid Email,N/A,1 972-589-0666,,
Stewart's,https://www.google.com/maps/place/?q=place_id:ChIJ0-K_BIecToYRHLhAsjKl1iw,,,,,+1 214-424-9971,"3700 Irving Blvd, Dallas, TX 75247, USA",4.7,102,No,Stewarts,stewartsshops.com,Web Working,"P.O. Box 435, Saratoga Springs, NY 12866, United States",United States,,Owner / President,Gary,Dake,garyd@stewartsshops.com,advertise@stewartsshops.com,,,Valid Email,N/A,1 518-581-1201,,
Mockingbird Cafe & Grill,https://www.google.com/maps/place/?q=place_id:ChIJmY02jWacToYRQEc2ShvRkig,,,,,+1 469-855-7399,"1111 W Mockingbird Ln, Dallas, TX 75247, USA",4.4,34,No,Mockingbird Cafe & Grill,,Web Not Found,"1111 W Mockingbird Ln, Dallas, TX 75247, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 469-855-7399,,
Freshnez,https://www.google.com/maps/place/?q=place_id:ChIJM-jtKiSdToYR0ZpF0a8LAsk,,http://freshnezkitchen.com/,freshnezkitchen.com,1,+1 833-888-3639,"7508 Ambassador Row Suit 100, Dallas, TX 75247, USA",4.9,280,No,FreshNez kitchen,freshnezkitchen.com,Web Working,"7508 Ambassador Row, Dallas, Texas, 75247, United States",United States,,Master Chef Owner,Greg,Doucette,N/A,orders@freshnezkitchen.com,,,Valid Email,N/A,1 833-888-3639,,
Carmen's,https://www.google.com/maps/place/?q=place_id:ChIJP7rD82qbToYRT76YwbmJjGE,,https://carmensmexicancafe.shop/,carmensmexicancafe.shop,1,+1 214-678-0020,"4717 Singleton Blvd, Dallas, TX 75212, USA",4.6,1569,No,Carmens,carmensmexicancafe.shop,Web Working,"4717 Singleton Blvd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-678-0020,,
La Villita,https://www.google.com/maps/place/?q=place_id:ChIJlewfNWibToYRtBmm5RUWJWo,,,,,+1 214-554-8375,"4746 Bernal Dr, Dallas, TX 75212, USA",4.1,39,No,La Villita,lavillita.com,Web Not Working,"4746 Bernal Dr Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-905-9594,,
El Gordo Seafood,https://www.google.com/maps/place/?q=place_id:ChIJOeRwY0KbToYRzfPW6b0btCE,,,,,+1 903-879-7272,"4841 Bernal Dr, Dallas, TX 75212, USA",4.7,83,No,El Gordo Seafood,,Web Not Found,"4841 Bernal Dr, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 903-879-7272,,
Ben's Grill,https://www.google.com/maps/place/?q=place_id:ChIJTyV1_WqbToYRQZhO28c4hGk,,,,,+1 214-566-2231,"4639 Singleton Blvd, Dallas, TX 75212, USA",4.5,8,No,Bens Grill,,Web Not Found,"639 Singleton Blvd. 4639 Singleton Blvd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-566-2231,,
Ojos Locos Sports Cantina - Pinnacle Pointe,https://www.google.com/maps/place/?q=place_id:ChIJMzOuEcKbToYRNKQYHpccGJY,"Mini-chain of sports bars featuring TV soccer games, Mexican-inspired pub grub & ice-cold beer.",http://www.ojoslocos.com/,ojoslocos.com,4,+1 214-624-9640,"4473 Dallas Fort Worth Turnpike, Dallas, TX 75211, USA",3.8,294,No,Ojos Locos Sports Cantina Pinnacle Pointe,ojoslocos.com,Web Working,"4473 Dallas Fort Worth Turnpike, Dallas, TX 75211, United States",United States,https://www.linkedin.com/in/rich-hicks-310aa235/,CEO,Hicks,Rich,rich.hicks@hotmail.com,informacion@ojoslocos.com,,Signal Hire,Valid Email,1 214-455-3003,1 855-364-0777,RocketReach,
Pollo Campero,https://www.google.com/maps/place/?q=place_id:ChIJt9VHARebToYR5qqxrbztbdc,Guatemala-born counter-serve chain specializing in fried & grilled chicken & sides.,https://us.campero.com/locations/cockrell-hill,us.campero.com,4,+1 833-226-7376,"1703 N Cockrell Hill Rd, Dallas, TX 75211, USA",4.1,1210,No,Pollo Campero,us.campero.com,Web Working,"1703 N Cockrell Hill Rd, Dallas, TX 75211, United States",United States,,Owner,Juan,Gutiérrez,N/A,N/A,,,Not Found,N/A,1 833-226-7376,,
Carnicería La Potosina,https://www.google.com/maps/place/?q=place_id:ChIJg3VDpUebToYRmDi3qe88xdc,,,,,+1 214-630-1650,"5302 Singleton Blvd, Dallas, TX 75212, USA",4.2,707,No,Carnicería La Potosina,,Web Not Found,"5302 Singleton Blvd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-630-1650,,
El Patron Tacos y Tortas al 100,https://www.google.com/maps/place/?q=place_id:ChIJc6vdIRebToYRJLLPJOyu3P0,,http://www.elpatrontacosytortasal100.com/,elpatrontacosytortasal100.com,1,+1 214-951-7373,"4291 Dallas Fort Worth Turnpike, Dallas, TX 75212, USA",4,968,No,El Patron Tacos y Tortas al 100,elpatrontacosytortasal100.com,Duplicate Company,"4291 Dallas Fort Worth Turnpike, Dallas, TX 75212, United States",United States,,,,,,,,,Duplicate Company,,1 214-951-7373,,
Taco Cabana,https://www.google.com/maps/place/?q=place_id:ChIJ42M8-xebToYRTc9MVwETgHI,"Colorful chain eatery for classic Mexican fare, including freshly made salsa & tortillas.",https://www.tacocabana.com/?utm_source=google-business-profile&utm_medium=organic&utm_campaign=business-listing&utm_id=20265,tacocabana.com,9,+1 214-623-0397,"4360 Dallas Fort Worth Turnpike, Dallas, TX 75211, USA",3.6,2099,No,Taco Cabana,tacocabana.com,Duplicate Company,"4360 Dallas Fort Worth Turnpike, Dallas, TX 75211, United States",United States,,,,,,,,,Duplicate Company,,1 214-623-0397,,
Sosa's BBQ,https://www.google.com/maps/place/?q=place_id:ChIJK94XVKObToYRFxETUB_U_wA,,https://www.facebook.com/SosasBBQ,facebook.com,108,+1 469-428-5667,"1710 Chalk Hill Rd, Dallas, TX 75212, USA",5,142,No,Sosa's BBQ,sosasbbq.com,Web Working,"1710 Chalk Hill Rd, Dallas, TX 75212, United States",United States,,Owner,Jaime,Sosa,N/A,sosasbarbq@gmail.com,,,Valid Email,N/A,1 469-428-5667,,
Liu's Kitchen,https://www.google.com/maps/place/?q=place_id:ChIJ0UeDzkebToYRfmkCikSyXr0,,http://www.liuskitchentx.com/,liuskitchentx.com,1,+1 214-920-9888,"5330 Singleton Blvd, Dallas, TX 75212, USA",4.3,292,No,Liu's Kitchen,liuskitchentx.com,Web Working,"5330 Singleton Blvd, Dallas, TX 75212, United States",United States,,Owner,Cuiying,Liu,N/A,finance@chinesemenuonline.com,,,Valid Email,N/A,1 214-920-9888,,
Raul's Restaurant,https://www.google.com/maps/place/?q=place_id:ChIJd_3Hz0ebToYRhIpfidSx0zw,,,,,+1 214-688-5955,"5336 Singleton Blvd, Dallas, TX 75212, USA",4.4,129,No,Raul's Restaurant,,Web Not Found,"5336 Singleton Blvd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-688-5955,,
Me & Mom's Diner,https://www.google.com/maps/place/?q=place_id:ChIJtWbrK0ebToYRl7mvjg_NbO4,,,,,+1 214-634-9989,"5057 Singleton Blvd, Dallas, TX 75212, USA",4.3,210,No,Me & Mom's Diner,,Web Not Found,"5057 Singleton Blvd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-634-9989,,
The Best Hot Dog,https://www.google.com/maps/place/?q=place_id:ChIJ2xhwzyKbToYRLnrClNcxzhM,,,,,+1 817-841-2513,"1710 Chalk Hill Rd, Dallas, TX 75212, USA",4.1,31,No,The Best Hot Dog,,Web Not Found,"1710 Chalk Hill Rd, Dallas, TX 75212, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 817-841-2513,,
Pardon My Cheesesteak,https://www.google.com/maps/place/?q=place_id:ChIJN9vhYrybToYRdKhWm7MCnTY,,https://pardonmycheesesteak.com/,pardonmycheesesteak.com,2,+1 888-444-0934,"4333 Dallas Fort Worth Turnpike, Dallas, TX 75212, USA",,,No,Pardon My Cheesesteak,pardonmycheesesteak.com,Web Working,"860 Bethlehem Pike, North Wales, Pennsylvania 19454, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 888-444-0934,,
Golden Corral Buffet & Grill,https://www.google.com/maps/place/?q=place_id:ChIJV_W1lRmbToYRodOLM_mhMUo,"Family-friendly buffet chain featuring all-you-can-eat American fare, plus salad & dessert bars.",https://www.goldencorral.com/locations/2503/golden-corral-n-cockrell-hill-road?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2503,goldencorral.com,5,+1 214-339-5799,"1540 N Cockrell Hill Rd, Dallas, TX 75211, USA",3.6,4194,No,Golden Corral Buffet & Grill,goldencorral.com,Web Working,"1540 N Cockrell Hill Rd, Dallas, TX 75211, United States",United States,https://www.linkedin.com/in/hunter-lee-2588b6125/,General Manager/Owner,Hunter,Lee,hunterlee@gmail.com,hr@goldencorral.com,,RocketReach,Valid Email,1 321-432-0277,1 919-881-4465,Contect Out,
Lucky Rice,https://www.google.com/maps/place/?q=place_id:ChIJz9GEB-WaToYROUAag7JezN4,"Straightforward, strip-mall spot whipping up noodles, fried rice & other Chinese standards.",https://www.luckyricedallastx.com/,luckyricedallastx.com,1,+1 214-339-1900,"1515 N Cockrell Hill Rd #110, Dallas, TX 75211, USA",4.1,536,No,Lucky Rice,luckyricedallastx.com,Web Working,"1515 N Cockrell Hill Rd #110, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-339-1900,,
La Parrilla Tacos & Más,https://www.google.com/maps/place/?q=place_id:ChIJK6HdyZWbToYRRk_fxse6ue8,,https://laparrillatacostx.com/,laparrillatacostx.com,1,+1 972-850-9041,"4398Dallas Fort Worth Turnpike, #103, Dallas, TX 75211, USA",4,184,No,La Parrilla Tacos & Más,laparrillatacostx.com,Web Working,"4398 Dallas Fort Worth Turnpike, SUITE 130, Dallas, TX 75212, United States",United States,,,,,N/A,laparrillatacos@gmail.com,,,Valid Email,N/A,1 972-850-9041,,
Mi Casa Taqueria and Fruteria,https://www.google.com/maps/place/?q=place_id:ChIJ6c2loBmbToYRuVWaW64GnN4,,https://www.grubhub.com/restaurant/mi-casa-taqueria-and-fruteria-1515-n-cockrell-hill-rd-dallas/6037424?classicAffiliateId=%2Fr%2Fw%2F6037424%2Frestaurant%2F6037424,grubhub.com,5,+1 469-802-9709,"1515 N Cockrell Hill Rd #115, Dallas, TX 75212, USA",4.1,234,No,Mi Casa Taqueria and Fruteria,grubhub.com,Web Working,"1515 N Cockrell Hill Rd #115, Dallas, TX 75212, United States",United States,https://www.linkedin.com/in/cherie-pierce-173590104/,Owner,Cherie,Pierce,cpierce@grubhub.com,mthomas@grubhub.com,,,Valid Email,1 760-668-1325,1 469-802-9709,RocketReach,
Dickey's Barbecue Pit,https://www.google.com/maps/place/?q=place_id:ChIJ8yY4KhqbToYRu1MCHuwPwVE,"BBQ chain eatery featuring house-smoked meats, stuffed baked potatoes & classic sides.",https://www.dickeys.com/locations/texas/dallas/adler-dr?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website,dickeys.com,5,+1 214-377-9171,"4475 Adler Dr Ste 106, Dallas, TX 75212, USA",3.7,476,No,Dickey's Barbecue Pit,dickeys.com,Web Working,"4475 Adler Dr Ste 106, Dallas, TX 75212, United States",United States,https://www.linkedin.com/in/anmol-rattan-949074a5/,Owner,Anmol,Rattan,anmolsanhi@gmail.com,barbecueathome@dickeys.com,,Contect Out,Valid Email,1 714-507-8826,1 214-377-9171,Contect Out,
It's Just Wings,https://www.google.com/maps/place/?q=place_id:ChIJPd5udA6bToYRb-vI6CIUdoA,,https://locations.itsjustwings.com/tx/dallas/pinnacle-park-its-just-wings?utm_source=google&utm_medium=local&utm_campaign=IJW,locations.itsjustwings.com,4,+1 469-208-8354,"1610 N Cockrell Hill Rd, Dallas, TX 75211, USA",3.9,29,No,It's Just Wings,locations.itsjustwings.com,Web Working,"1610 N Cockrell Hill Rd, Dallas, TX 75211, United States",United States,,,,,N/A,info@itsjustwings.com,,,Valid Email,N/A,1 469-208-8354,,
Fito's Tacos De Trompo,https://www.google.com/maps/place/?q=place_id:ChIJaZl6tEKaToYRH1P1ZZLK8k8,,https://www.fitostacosdetrompo.com/,fitostacosdetrompo.com,3,+1 469-941-4687,"2808 W Clarendon Dr, Dallas, TX 75211, USA",3.8,734,No,Fito's Tacos De Trompo,fitostacosdetrompo.com,Web Working,"2808 W Clarendon Dr, Dallas, TX 75211, United States",United States,,,,,N/A,fitostaqueria@gmail.com,,,Valid Email,N/A,1 469-941-4687,,
Tortilleria La Nueva Puntada,https://www.google.com/maps/place/?q=place_id:ChIJKcV1gfSaToYRhH7ssBRlz_A,"Long-running local Mexican chain serving tacos, burritos, gorditas & more in a casual setting.",https://lanuevapuntada.com/,lanuevapuntada.com,2,+1 214-333-0607,"3818 W Clarendon Dr, Dallas, TX 75211, USA",4.2,505,No,Tortilleria La Nueva Puntada,lanuevapuntada.com,Web Working,"317 East Pioneer Parkway, Grand Prairie, TX 75052, United States",United States,,,,,N/A,jorgecasas99@gmail.com,,,Valid Email,N/A,1 972-266-2332,,
